FID,Block Number,x1,y1,dma,Subscription Number,zone,status
4359,4948,32.91637183,24.09286152,1,717957,1135,water
4360,4949,32.91634273,24.09287254,1,1565,1135,water
4361,4950,32.91620102,24.09292224,1,11243,1135,water
4362,4951,32.91615606,24.09293862,1,0,1135,illegal
4363,4952,32.91605443,24.09303928,1,626577,1135,water
4364,4953,32.91641366,24.0926374,1,3944,1135,water
4365,4954,32.91638507,24.09256794,1,0,1135,illegal
4366,4955,32.91602749,24.09260755,1,16520,1135,water
4367,4956,32.91606426,24.09259273,1,0,1135,illegal
4368,4957,32.91616039,24.09247765,1,0,1135,illegal
4369,4958,32.91619052,24.09255073,1,658522,1135,water
4370,4959,32.9162194,24.09262034,1,0,1135,illegal
4371,4960,32.91624819,24.09268998,1,0,1135,illegal
4372,4961,32.91605179,24.09267198,1,610616,1135,water
4373,4962,32.91597007,24.09279638,1,15133,1135,water
4374,4963,32.91582972,24.09187791,2,0,1135,illegal
4375,4964,32.91581474,24.09208658,2,0,1135,water
4376,4965,32.91577168,24.09192121,2,717315,1135,water
4377,4966,32.91560447,24.09171032,2,13242,1135,water
4378,4967,32.91573294,24.09165033,2,0,1135,illegal
4379,4968,32.91557013,24.09162608,2,12166,1135,water
4380,4969,32.91857469,24.09224816,1,718957,1135,water
4381,4970,32.91829694,24.09220413,1,0,1135,illegal
4382,4971,32.91851705,24.09240755,1,0,1135,non-user
4383,4972,32.91864992,24.09224939,1,0,1135,non-user
4384,4973,32.91865002,24.09262602,1,0,1135,non-user
4385,4974,32.91857997,24.09248165,1,45924,1135,water
4386,4975,32.91850399,24.09252798,1,70372,1135,water
4387,4976,32.9183646,24.09252926,1,0,1135,water
4388,4977,32.91840633,24.09276053,1,70327,1135,water
4389,4978,32.91768388,24.09253351,1,30121,1135,water
4390,4979,32.91789294,24.09265972,1,70532,1135,water
4391,4980,32.91954139,24.09330404,1,41967,1135,water
4392,4981,32.9192129,24.09339511,1,0,1135,non-user
4393,4982,32.91923853,24.09318397,1,724517,1135,water
4394,4983,32.91906279,24.09345817,1,0,1135,water
4395,4984,32.92029178,24.09277731,1,0,1135,illegal
4396,4985,32.92046082,24.09265932,1,718868,1135,water
4397,4986,32.92063419,24.09254722,1,0,1135,illegal
4398,4987,32.92036376,24.09253591,1,718795,1135,water
4399,4988,32.92030014,24.09257578,1,0,1135,illegal
4400,4989,32.92026107,24.09260206,1,718809,1135,water
4401,4990,32.91961381,24.09290163,1,44554,1135,water
4402,4991,32.91945382,24.09289458,1,0,1135,illegal
4403,4992,32.91673412,24.09110979,1,59265,1135,water
4404,4993,32.91664672,24.09096942,1,29918,1135,water
4405,4994,32.91662693,24.09097044,1,0,1135,illegal
4406,4995,32.91661068,24.09096476,1,718979,1135,water
4407,4996,32.91767345,24.09081403,1,718827,1135,water
4408,4997,32.91721686,24.09068049,1,0,1135,non-user
4409,4998,32.91670933,24.09070298,1,0,1135,water
4410,4999,32.91665392,24.09074211,1,716011,1135,water
4411,5000,32.91657922,24.09077668,1,603574,1135,water
4412,5001,32.91759938,24.09100185,1,718974,1135,water
4413,5002,32.91655555,24.09077524,1,46003,1135,water
4414,5003,32.91927387,24.09194129,1,719815,1135,water
4415,5004,32.91928259,24.09201766,1,717945,1135,water
4416,5005,32.91923135,24.09211162,1,724139,1135,water
4417,5006,32.91899764,24.09201815,1,718904,1135,water
4418,5007,32.9183453,24.09131033,1,717941,1135,water
4419,5008,32.91834794,24.09136387,1,718977,1135,water
4420,5009,32.91832484,24.09142099,1,0,1135,illegal
4421,5010,32.91837251,24.09146217,1,0,1135,illegal
4422,5011,32.918575,24.09169204,1,0,1135,non-user
4423,5012,32.91860276,24.09170321,1,0,1135,illegal
4424,5013,32.9182382,24.0918234,1,0,1135,illegal
4425,5014,32.91818108,24.09182213,1,718962,1135,water
4426,5015,32.91811091,24.09179841,1,718869,1135,water
4427,5016,32.91774504,24.09184973,1,63527,1135,water
4428,5017,32.9194042,24.09254919,1,719896,0,water
4429,5018,32.92008426,24.09273074,1,726955,1135,water
4430,5019,32.91670873,24.09290354,1,0,1135,illegal
4431,5020,32.91627693,24.09333555,1,0,1135,illegal
4432,5021,32.91666017,24.09299692,1,0,1135,water
4433,5022,32.91632669,24.09344873,1,722249,1135,water
4434,5023,32.91639345,24.09342053,1,0,1135,illegal
4435,5024,32.91647968,24.09333142,1,0,1135,illegal
4436,5025,32.91651376,24.09317627,1,718882,1135,water
4437,5026,32.9164516,24.09327989,1,0,1135,illegal
4438,5027,32.91635971,24.09330572,1,0,1135,illegal
4439,5028,32.9162503,24.09327724,1,717364,1135,water
4440,5029,32.91615124,24.09329493,1,717361,1135,water
