Block Number,X,Y,DMA,Zone,Status
1848,32.91671394,24.09259813,1,1135,illegal connection
1849,32.91657357,24.09257762,1,1135,water meter
1851,32.91656279,24.0924702,1,1135,water meter
1852,32.91781345,24.0922622,1,1035,water meter
1854,32.91781535,24.09218077,1,1135,water meter
1856,32.91796024,24.09221673,1,1135,water meter
1857,32.91802492,24.09209086,1,1135,illegal connection
1858,32.91791488,24.09201894,1,1135,water meter
1859,32.91780948,24.09206194,1,1135,water meter
1860,32.91798342,24.09199182,1,1135,water meter
1861,32.91807195,24.09196133,1,1135,water meter
1862,32.91812404,24.09207829,1,1135,illegal connection
1863,32.9181875,24.09207936,1,1135,illegal connection
1865,32.91827372,24.09209516,1,1135,water meter
1866,32.91844857,24.0922298,1,1135,water meter
1867,32.91842487,24.09209968,1,1135,water meter
1868,32.9185275,24.09211857,1,1135,non-user
1869,32.91849028,24.09193273,1,1135,illegal connection
1870,32.91863422,24.09211848,1,1135,non-user
1871,32.91874342,24.09211672,1,1135,water meter
1872,32.91875128,24.09194748,1,1135,illegal connection
1876,32.91887095,24.09210985,1,1135,illegal connection
1877,32.91876174,24.09225244,1,1135,non-user
1878,32.91876752,24.09235491,1,1135,water meter
1879,32.91879628,24.09243904,1,1135,water meter
1880,32.91881417,24.0925346,1,1035,water meter
1881,32.91874958,24.09262408,1,1135,water meter
1883,32.91880129,24.09276433,1,1135,water meter
1884,32.91887851,24.09274735,1,1135,illegal connection
1885,32.91894764,24.09269249,1,1135,water meter
1886,32.91893352,24.09279967,1,1135,water meter
1887,32.91899125,24.09286578,1,1135,water meter
1889,32.91890467,24.09288441,1,1135,water meter
1890,32.91881898,24.09290174,1,1135,water meter
1891,32.91872136,24.09292587,1,1135,water meter
1892,32.91870252,24.09284651,1,1035,water meter
1894,32.91868093,24.09273132,1,1135,water meter
1895,32.91857818,24.09272919,1,1135,illegal connection
1896,32.91849416,24.09272259,1,1135,water meter
1897,32.91842715,24.09284031,1,1135,illegal connection
1898,32.91835309,24.09283631,1,1135,illegal connection
1899,32.9182724,24.09283017,1,1135,illegal connection
1900,32.91820048,24.09281711,1,1135,water meter
1901,32.91811359,24.0928036,1,1135,water meter
1902,32.91808142,24.09270589,1,1035,water meter
1903,32.91815786,24.09271688,1,1135,illegal connection
1904,32.91824389,24.09271147,1,1135,illegal connection
1905,32.91832911,24.09270768,1,1135,illegal connection
